Group_112_1	XM_015946039	rna7423	frmd7	XP_015801525.1
Group_1101_0	XM_015970478	rna31215	LOC107392593	XP_015825964.1
Group_1087_3	XM_015970481	rna31212	LOC107392595	XP_015825967.1
Group_345_0	XM_015970340	rna31077	cd109	XP_015825826.1
Group_1042_3	XM_015970341	rna31078	LOC107392498	XP_015825827.1
Group_2376_1	XM_015970355	rna31093	kbtbd11	XP_015825841.1
Group_1097_1	XM_015970356	rna31095	LOC107392507	XP_015825842.1
Group_463_2	XM_015970371	rna31111	LOC107392519	XP_015825857.1
Group_3254_0	XM_015970372	rna31112	tmem50a	XP_015825858.1
Group_2334_0	XM_015970374	rna31113	LOC107392521	XP_015825860.1
Group_8063_0	XM_015970375	rna31115	LOC107392522	XP_015825861.1
Group_5545_0	XM_015970376	rna31116	syf2	XP_015825862.1
Group_1769_2	XM_015970399	rna31132	tmem54	XP_015825885.1
Group_2381_0	XM_015970409	rna31145	hmgcl	XP_015825895.1
Group_5799_0	XM_015970410	rna31149	gale	XP_015825896.1
Group_1953_1	XM_015970412	rna31150	insm1	XP_015825898.1
Group_2307_1	XM_015970413	rna31151	ralgapa2	XP_015825899.1
Group_7920_0	XM_015970422	rna31152	kiz	XP_015825908.1
Group_65_15	XM_015970432	rna31159	pax1	XP_015825918.1
Group_39_20	XM_015970429	rna31161	foxa2	XP_015825915.1
Group_2300_1	XM_015970431	rna31165	LOC107392554	XP_015825917.1
Group_1513_1	XM_015970419	rna31172	scaf8	XP_015825905.1
Group_15_45	XM_015970440	rna31180	LOC107392559	XP_015825926.1
Group_795_1	XM_015970442	rna31181	LOC107392563	XP_015825928.1
Group_1211_0	XM_015970447	rna31187	fndc5	XP_015825933.1
Group_536_6	XM_015970449	rna31190	LOC107392569	XP_015825935.1
Group_6230_0	XM_015970450	rna31191	bsdc1	XP_015825936.1
Group_3055_0	XM_015970453	rna31192	marcksl1	XP_015825939.1
Group_6152_0	XM_015975438	rna36101	supt7l	XP_015830924.1
Group_7121_0	XM_015975440	rna36103	LOC107395964	XP_015830926.1
Group_152_24	XM_015969144	rna29903	LOC107391721	XP_015824630.1
Group_152_23	XM_015969143	rna29902	LOC107391720	XP_015824629.1
Group_152_0	XM_015941784	rna39523	kcnk5	XP_015797270.1
Group_4413_0	XM_015941780	rna39522	rab3gap2	XP_015797266.1
Group_6005_0	XM_015969127	rna29890	tssc1	XP_015824613.1
Group_6398_0	XM_015969126	rna29889	trappc12	XP_015824612.1
Group_325_7	XM_015969093	rna29852	LOC107391680	XP_015824579.1
Group_6214_0	XM_015941764	rna39502	setd3	XP_015797250.1
Group_6426_0	XM_015971860	rna32566	ogfod2	XP_015827346.1
Group_812_2	XM_015971871	rna32576	LOC107393491	XP_015827357.1
Group_6156_0	XM_015971878	rna32582	anapc7	XP_015827364.1
Group_148_6	XM_015971881	rna32587	ppp1cc	XP_015827367.1
Group_336_4	XM_015971884	rna32588	LOC107393500	XP_015827370.1
Group_6075_0	XM_015971910	rna32614	rchy1	XP_015827396.1
Group_1158_0	XM_015971917	rna32620	LOC107393515	XP_015827403.1
Group_5755_0	XM_015971919	rna32621	snrnp27	XP_015827405.1
Group_30_6	XM_015971920	rna32623	LOC107393518	XP_015827406.1
Group_2033_0	XM_015971922	rna32624	LOC107393519	XP_015827408.1
Group_683_2	XM_015971923	rna32625	arhgap25	XP_015827409.1
Group_103_27	XM_015971925	rna32627	bmp10	XP_015827411.1
Group_42_23	XM_015971958	rna32657	sema4c	XP_015827444.1
Group_7940_0	XM_015971956	rna32655	cdca2	XP_015827442.1
Group_93_18	XM_015971961	rna32660	tbx1	XP_015827447.1
Group_6775_0	XM_015971962	rna32662	gnb1l	XP_015827448.1
Group_4093_0	XM_015971982	rna32680	dgcr8	XP_015827468.1
Group_5221_0	XM_015971994	rna32683	ranbp1	XP_015827480.1
Group_231_7	XM_015971991	rna32684	zdhhc8	XP_015827477.1
Group_1245_1	XM_015971998	rna32696	fbrsl1	XP_015827484.1
Group_46_11	XM_015972003	rna32700	LOC107393555	XP_015827489.1
Group_25_26	XM_015972013	rna32711	LOC107393562	XP_015827499.1
Group_855_1	XM_015972017	rna32714	rnf181	XP_015827503.1
Group_200_4	XM_015972027	rna32724	crybb3	XP_015827513.1
Group_3849_0	XM_015972029	rna32725	kiaa1671	XP_015827515.1
Group_6522_0	XM_015972033	rna32728	pop5	XP_015827519.1
Group_914_4	XM_015972032	rna32729	unc119b	XP_015827518.1
Group_2064_1	XM_015972034	rna32731	hnf1a	XP_015827520.1
Group_2898_1	XM_015972043	rna32738	LOC107393582	XP_015827529.1
Group_5470_0	XM_015972044	rna32741	hps4	XP_015827530.1
Group_1454_0	XM_015972060	rna32755	lrrc75b	XP_015827546.1
Group_361_2	XM_015972059	rna32756	ggt1	XP_015827545.1
Group_6817_0	XM_015972061	rna32757	anapc5	XP_015827547.1
Group_159_8	XM_015972062	rna32759	lrrtm4	XP_015827548.1
Group_159_10	XM_015972063	rna32760	LOC107393595	XP_015827549.1
Group_8457_0	XM_015972066	rna32763	LOC107393597	XP_015827552.1
Group_323_2	XM_015972067	rna32764	dock5	XP_015827553.1
Group_3454_1	XM_015972069	rna32766	cabin1	XP_015827555.1
Group_16_13	XM_015972083	rna32781	LOC107393607	XP_015827569.1
Group_761_2	XM_015972088	rna32785	lgi3	XP_015827574.1
Group_3138_1	XM_015942322	rna40135	LOC107374178	XP_015797808.1
Group_2540_0	XM_015972097	rna32789	LOC107393613	XP_015827583.1
Group_21_59	XM_015942319	rna40132	LOC107374177	XP_015797805.1
Group_115_1	XM_015972128	rna32822	fzd10	XP_015827614.1
Group_439_0	XM_015972129	rna32824	LOC107393628	XP_015827615.1
Group_6982_0	XM_015972131	rna32825	glt1d1	XP_015827617.1
Group_5503_0	XM_015972130	rna32826	slc15a4	XP_015827616.1
Group_439_2	XM_015972133	rna32827	LOC107393631	XP_015827619.1
Group_81_4	XM_015972142	rna32837	hmcn2	XP_015827628.1
Group_28_49	XM_015972143	rna32838	angptl2	XP_015827629.1
Group_506_5	XM_015972144	rna32839	zbtb34	XP_015827630.1
Group_1432_1	XM_015972150	rna32844	mvb12b	XP_015827636.1
Group_639_1	XM_015972162	rna32849	pbx3	XP_015827648.1
Group_2860_0	XM_015972173	rna32866	LOC107393649	XP_015827659.1
Group_881_2	XM_015972174	rna32867	LOC107393650	XP_015827660.1
Group_7636_0	XM_015972177	rna32869	LOC107393651	XP_015827663.1
Group_6634_0	XM_015972191	rna32882	LOC107393657	XP_015827677.1
Group_288_6	XM_015972190	rna32883	slc7a4	XP_015827676.1
Group_1603_2	XM_015972198	rna32893	LOC107393664	XP_015827684.1
Group_1716_0	XM_015972202	rna32898	LOC107393667	XP_015827688.1
Group_2448_0	XM_015972207	rna32902	npc1l1	XP_015827693.1
Group_1421_4	XM_015972214	rna32903	LOC107393674	XP_015827700.1
Group_5464_0	XM_015972215	rna32908	elmod3	XP_015827701.1
Group_2536_0	XM_015963550	rna24435	star	XP_015819036.1
Group_273_7	XM_015972218	rna32910	LOC107393676	XP_015827704.1
Group_5920_0	XM_015972219	rna32911	lsm1	XP_015827705.1
Group_5449_0	XM_015972220	rna32912	bag4	XP_015827706.1
Group_199_3	XM_015972222	rna32914	LOC107393679	XP_015827708.1
Group_249_4	XM_015972230	rna32921	rorb	XP_015827716.1
Group_52_41	XM_015972233	rna32929	LOC107393688	XP_015827719.1
Group_486_6	XM_015972438	rna32930	tmc1	XP_015827924.1
Group_5367_0	XM_015972240	rna32933	ciao1	XP_015827726.1
Group_940_0	XM_015972241	rna32935	LOC107393695	XP_015827727.1
Group_2887_1	XM_015972247	rna32939	tmem230	XP_015827733.1
Group_19_50	XM_015972248	rna32940	LOC107393699	XP_015827734.1
Group_394_1	XM_015972249	rna32941	LOC107393700	XP_015827735.1
Group_1083_3	XM_015972250	rna32942	LOC107393701	XP_015827736.1
Group_525_3	XM_015972251	rna32943	LOC107393702	XP_015827737.1
Group_2571_1	XM_015972252	rna32944	vps33a	XP_015827738.1
Group_1663_2	XM_015972255	rna32947	LOC107393706	XP_015827741.1
Group_3018_0	XM_015972257	rna32949	hectd4	XP_015827743.1
Group_269_6	XM_015972263	rna32955	pitpnb	XP_015827749.1
Group_4347_0	XM_015972265	rna32956	mn1	XP_015827751.1
Group_51_45	XM_015972278	rna32966	LOC107393720	XP_015827764.1
Group_1091_2	XM_015972272	rna32967	dbnl	XP_015827758.1
Group_5916_0	XM_015972280	rna32973	gins4	XP_015827766.1
Group_566_5	XM_015972309	rna33000	pdlim2	XP_015827795.1
Group_8552_0	XM_015972355	rna33045	pebp4	XP_015827841.1
Group_3278_1	XM_015972360	rna33049	LOC107393763	XP_015827846.1
Group_50_2	XM_015972387	rna33079	klf9	XP_015827873.1
Group_1669_3	XM_015972388	rna33080	LOC107393783	XP_015827874.1
Group_8147_0	XM_015972399	rna33092	hspb11	XP_015827885.1
Group_5153_0	XM_015972397	rna33093	LOC107393792	XP_015827883.1
Group_6322_0	XM_015972406	rna33098	mblac2	XP_015827892.1
Group_2909_1	XM_015972409	rna33099	polr3g	XP_015827895.1
Group_3251_0	XM_015972410	rna33102	adgrv1	XP_015827896.1
Group_263_5	XM_015972411	rna33103	arrdc3	XP_015827897.1
Group_4938_0	XM_015972418	rna33115	kiaa0825	XP_015827904.1
Group_507_3	XM_015972455	rna33134	LOC107393848	XP_015827941.1
Group_7241_0	XM_015972460	rna33140	wdr54	XP_015827946.1
Group_457_0	XM_015972480	rna33152	mef2c	XP_015827966.1
Group_2418_0	XM_015972483	rna33155	tmem161b	XP_015827969.1
Group_4651_0	XM_015972486	rna33157	ccnh	XP_015827972.1
Group_7345_0	XM_015972487	rna33159	LOC107393878	XP_015827973.1
Group_171_1	XM_015976087	rna36737	LOC107396387	XP_015831573.1
Group_3308_0	XM_015972493	rna33164	xrcc4	XP_015827979.1
Group_263_8	XM_015972495	rna33166	LOC107393887	XP_015827981.1
Group_263_13	XM_015972497	rna33168	LOC107393889	XP_015827983.1
Group_2584_1	XM_015972508	rna33174	LOC107393895	XP_015827994.1
Group_7_17	XM_015972501	rna33178	LOC107393892	XP_015827987.1
Group_2506_1	XM_015972523	rna33192	unc45b	XP_015828009.1
Group_6170_0	XM_015972526	rna33196	dimt1	XP_015828012.1
Group_1825_1	XM_015972539	rna33208	LOC107393912	XP_015828025.1
Group_101_9	XM_015972597	rna33266	LOC107393945	XP_015828083.1
Group_101_10	XM_015972601	rna33267	LOC107393950	XP_015828087.1
Group_15_21	XM_015972481	rna33272	LOC107393872	XP_015827967.1
Group_4531_0	XM_015972606	rna33273	lztr1	XP_015828092.1
Group_576_3	XM_015972609	rna33274	gal3st1	XP_015828095.1
Group_5331_0	XM_015972607	rna33275	pes1	XP_015828093.1
Group_5328_0	XM_015972611	rna33277	pole	XP_015828097.1
Group_1809_1	XM_015972622	rna33286	kctd10	XP_015828108.1
Group_774_4	XM_015972444	rna33288	LOC107393834	XP_015827930.1
Group_7528_0	XM_015972624	rna33289	mmab	XP_015828110.1
Group_5591_0	XM_015972623	rna33290	mvk	XP_015828109.1
Group_727_2	XM_015972643	rna33308	ankrd13a	XP_015828129.1
Group_27_0	XM_015972644	rna33310	LOC107393971	XP_015828130.1
Group_1469_0	XM_015972645	rna33311	sgsm1	XP_015828131.1
Group_5318_0	XM_015972648	rna33316	pxmp2	XP_015828134.1
Group_5062_0	XM_015972650	rna33317	ung	XP_015828136.1
Group_4480_0	XM_015972654	rna33320	usp30	XP_015828140.1
Group_452_4	XM_015972658	rna33324	ssh1	XP_015828144.1
Group_261_1	XM_015972660	rna33326	LOC107393983	XP_015828146.1
Group_6081_0	XM_015972666	rna33333	sart3	XP_015828152.1
Group_4041_0	XM_015973084	rna33340	pik3ip1	XP_015828570.1
Group_6786_0	XM_015973072	rna33350	rhbdd3	XP_015828558.1
Group_1849_0	XM_015973041	rna33351	ewsr1	XP_015828527.1
Group_981_5	XM_015973023	rna33356	gas2l1	XP_015828509.1
Group_47_32	XM_015973094	rna33362	rasl10a	XP_015828580.1
Group_6021_0	XM_015973064	rna33371	LOC107394210	XP_015828550.1
Group_1114_1	XM_015973076	rna33372	LOC107394221	XP_015828562.1
Group_103_21	XM_015973065	rna33373	LOC107394212	XP_015828551.1
Group_1257_2	XM_015973092	rna33374	LOC107394233	XP_015828578.1
Group_2969_1	XM_015973071	rna33392	LOC107394216	XP_015828557.1
Group_5997_0	XM_015973059	rna33393	usp39	XP_015828545.1
Group_6641_0	XM_015973091	rna33395	csgr18h2orf68	XP_015828577.1
Group_926_2	XM_015973067	rna33396	mat2a	XP_015828553.1
Group_754_4	XM_015973073	rna33408	mthfd2	XP_015828559.1
Group_2756_1	XM_015973074	rna33416	kmt5a	XP_015828560.1
Group_6184_0	XM_015973066	rna33423	rsrc2	XP_015828552.1
Group_6299_0	XM_015972691	rna33446	gtf2h3	XP_015828177.1
Group_3181_0	XM_015972693	rna33447	LOC107393999	XP_015828179.1
Group_76_29	XM_015972719	rna33480	LOC107394012	XP_015828205.1
Group_6343_0	XM_015972724	rna33484	bri3bp	XP_015828210.1
Group_6318_0	XM_015972737	rna33498	ndc80	XP_015828223.1
Group_154_3	XM_015972741	rna33502	LOC107394027	XP_015828227.1
Group_2034_1	XM_015972743	rna33503	LOC107394028	XP_015828229.1
Group_6222_0	XM_015972747	rna33506	naa35	XP_015828233.1
Group_1156_7	XM_015972748	rna33507	agtpbp1	XP_015828234.1
Group_16_35	XM_015972751	rna33510	ntrk2	XP_015828237.1
Group_3170_0	XM_015972752	rna33512	slc28a3	XP_015828238.1
Group_5890_0	XM_015972753	rna33513	rmi1	XP_015828239.1
Group_8186_0	XM_015972776	rna33528	idnk	XP_015828262.1
Group_112_17	XM_015972770	rna33529	frmd3	XP_015828256.1
Group_3_30	XM_015972777	rna33535	rasef	XP_015828263.1
Group_373_5	XM_015972779	rna33537	tle1	XP_015828265.1
Group_2828_1	XM_015972784	rna33541	LOC107394048	XP_015828270.1
Group_1606_0	XM_015972785	rna33542	fem1c	XP_015828271.1
Group_4963_0	XM_015972794	rna33550	ccser1	XP_015828280.1
Group_440_4	XM_015972813	rna33567	LOC107394066	XP_015828299.1
Group_1333_1	XM_015972819	rna33572	me2	XP_015828305.1
Group_6704_0	XM_015972821	rna33573	elac1	XP_015828307.1
Group_21_9	XM_015972822	rna33575	plk2	XP_015828308.1
Group_1783_1	XM_015972824	rna33576	LOC107394074	XP_015828310.1
Group_5646_0	XM_015972834	rna33586	ercc8	XP_015828320.1
Group_7352_0	XM_015972837	rna33588	smim15	XP_015828323.1
Group_1631_0	XM_015972839	rna33590	LOC107394083	XP_015828325.1
Group_39_16	XM_015972846	rna33591	foxd4	XP_015828332.1
Group_307_3	XM_015972847	rna33597	dock8	XP_015828333.1
Group_3417_0	XM_015972850	rna33600	csgr18h9orf3	XP_015828336.1
Group_38_3	XM_015972855	rna33604	ercc6l2	XP_015828341.1
Group_502_0	XM_015972862	rna33611	c7	XP_015828348.1
Group_602_4	XM_015972864	rna33612	plcxd3	XP_015828350.1
Group_5732_0	XM_015972869	rna33615	csgr18h5orf51	XP_015828355.1
Group_5731_0	XM_015972867	rna33616	fbxo4	XP_015828353.1
Group_1895_0	XM_015972886	rna33632	cdc14b	XP_015828372.1
Group_1654_0	XM_015972932	rna33677	fam109a	XP_015828418.1
Group_7105_0	XM_015972933	rna33678	prr16	XP_015828419.1
Group_6795_0	XM_015972934	rna33679	hsd17b4	XP_015828420.1
Group_1928_0	XM_015972935	rna33680	dmxl1	XP_015828421.1
Group_6119_0	XM_015972943	rna33687	cdo1	XP_015828429.1
Group_1990_3	XM_015972956	rna33697	LOC107394162	XP_015828442.1
Group_2926_1	XM_015972957	rna33698	LOC107394163	XP_015828443.1
Group_2765_1	XM_015972960	rna33701	LOC107394165	XP_015828446.1
Group_2578_1	XM_015973102	rna33730	LOC107394240	XP_015828588.1
Group_2275_1	XM_015973101	rna33731	letm2	XP_015828587.1
Group_4804_0	XM_015973105	rna33739	cdc45	XP_015828591.1
Group_15_11	XM_015973106	rna33740	cldn5	XP_015828592.1
Group_116_20	XM_015973113	rna33746	dhx37	XP_015828599.1
Group_5689_0	XM_015973114	rna33747	ufd1l	XP_015828600.1
Group_2587_1	XM_015973150	rna33780	hic2	XP_015828636.1
Group_6749_0	XM_015973157	rna33784	utp15	XP_015828643.1
Group_7325_0	XM_015973182	rna33810	LOC107394295	XP_015828668.1
Group_362_9	XM_015973183	rna33811	lipg	XP_015828669.1
Group_8085_0	XM_015973193	rna33820	LOC107394300	XP_015828679.1
Group_8356_1	XM_015973194	rna33821	LOC107394301	XP_015828680.1
Group_8181_0	XM_015973272	rna33828	mcidas	XP_015828758.1
Group_6781_0	XM_015973201	rna33829	ccno	XP_015828687.1
Group_1961_0	XM_015973211	rna33841	tmem8b	XP_015828697.1
Group_1581_0	XM_015973213	rna33844	tars	XP_015828699.1
Group_1954_1	XM_015973214	rna33845	gas1	XP_015828700.1
Group_5927_0	XM_015973215	rna33847	ccdc84	XP_015828701.1
Group_218_7	XM_015973222	rna33853	LOC107394321	XP_015828708.1
Group_4367_0	XM_015973242	rna33875	gldc	XP_015828728.1
Group_7197_0	XM_015973243	rna33876	coq2	XP_015828729.1
Group_2970_0	XM_015973264	rna33890	LOC107394343	XP_015828750.1
Group_241_3	XM_015973256	rna33891	LOC107394339	XP_015828742.1
Group_1555_2	XM_015973270	rna33896	LOC107394350	XP_015828756.1
Group_31_41	XM_015940558	rna38131	LOC107372354	XP_015796044.1
Group_2678_0	XM_015962484	rna2324	snrpf	XP_015817970.1
Group_2054_0	XM_015962436	rna2322	usp44	XP_015817922.1
Group_239_9	XM_015962398	rna2318	fgd6	XP_015817884.1
Group_4752_0	XM_015962150	rna2291	kin	XP_015817636.1
Group_4236_0	XM_015961440	rna2214	itfg2	XP_015816926.1
Group_6429_0	XM_015961367	rna2207	nup37	XP_015816853.1
Group_2298_2	XM_015961213	rna2192	LOC107386672	XP_015816699.1
Group_5714_0	XM_015961135	rna2185	pawr	XP_015816621.1
Group_5719_0	XM_015961111	rna2183	rps16	XP_015816597.1
Group_35_22	XM_015960927	rna2164	LOC107386498	XP_015816413.1
Group_1646_0	XM_015960787	rna2149	LOC107386414	XP_015816273.1
Group_6748_0	XM_015960764	rna2146	ndufb2	XP_015816250.1
Group_7834_0	XM_015960528	rna2127	rad51ap1	XP_015816014.1
Group_8675_0	XM_015960466	rna2122	LOC107386214	XP_015815952.1
Group_827_0	XM_015960456	rna2121	spic	XP_015815942.1
Group_4237_0	XM_015960329	rna2109	gnptab	XP_015815815.1
Group_2100_1	XM_015960306	rna2107	dram1	XP_015815792.1
Group_5925_0	XM_015960318	rna2106	ccdc53	XP_015815804.1
Group_0_117	XM_015960294	rna2105	LOC107386102	XP_015815780.1
Group_992_0	XM_015960272	rna2103	LOC107386087	XP_015815758.1
Group_4024_0	XM_015960249	rna2102	mcat	XP_015815735.1
Group_349_0	XM_015960238	rna2100	ttll1	XP_015815724.1
Group_2191_2	XM_015960189	rna2094	arfgap3	XP_015815675.1
Group_7292_0	XM_015960156	rna2091	ckap4	XP_015815642.1
Group_1652_0	XM_015960038	rna2072	depdc4	XP_015815524.1
Group_412_8	XM_015959957	rna2065	LOC107385825	XP_015815443.1
Group_412_2	XM_015959945	rna2064	lum	XP_015815431.1
Group_1330_3	XM_015959934	rna2063	LOC107385809	XP_015815420.1
Group_1233_0	XM_015959886	rna2059	fam3c	XP_015815372.1
Group_3475_1	XM_015959802	rna2051	prrt4	XP_015815288.1
Group_3021_1	XM_015959778	rna2050	LOC107385704	XP_015815264.1
Group_8580_0	XM_015959790	rna2049	LOC107385714	XP_015815276.1
Group_3997_1	XM_015959730	rna2037	snd1	XP_015815216.1
Group_145_13	XM_015959717	rna2038	LOC107385666	XP_015815203.1
Group_42_34	XM_015959604	rna2025	LOC107385609	XP_015815090.1
Group_27_29	XM_015959441	rna2009	LOC107385512	XP_015814927.1
Group_6314_0	XM_015959356	rna2001	mest	XP_015814842.1
Group_4369_0	XM_015959221	rna1986	exoc4	XP_015814707.1
Group_1192_1	XM_015959210	rna1985	chchd3	XP_015814696.1
Group_144_16	XM_015959199	rna1984	plxna4	XP_015814685.1
Group_2879_1	XM_015959132	rna1978	klhdc10	XP_015814618.1
Group_94_16	XM_015958578	rna1916	LOC107385014	XP_015814064.1
Group_3043_1	XM_015958210	rna1880	LOC107384762	XP_015813696.1
Group_1149_1	XM_015958131	rna1871	LOC107384729	XP_015813617.1
Group_3090_1	XM_015958050	rna1864	atxn7l1	XP_015813536.1
Group_2867_0	XM_015958020	rna1861	nampt	XP_015813506.1
Group_28_20	XM_015957988	rna1857	fgl2	XP_015813474.1
Group_2921_1	XM_015957969	rna1855	LOC107384616	XP_015813455.1
Group_3_48	XM_015957957	rna1854	LOC107384610	XP_015813443.1
Group_5162_1	XM_015957944	rna1853	LOC107384600	XP_015813430.1
Group_5819_0	XM_015957822	rna1838	zcrb1	XP_015813308.1
Group_1746_1	XM_015957832	rna1837	yaf2	XP_015813318.1
Group_1724_0	XM_015957773	rna1836	LOC107384496	XP_015813259.1
Group_820_3	XM_015957762	rna1835	pdzrn4	XP_015813248.1
Group_7848_0	XM_015957607	rna1815	thap5	XP_015813093.1
Group_289_7	XM_015957570	rna1812	LOC107384342	XP_015813056.1
Group_556_0	XM_015957514	rna1806	tfec	XP_015813000.1
Group_2289_0	XM_015957362	rna1790	ifrd1	XP_015812848.1
Group_668_0	XM_015957314	rna1784	lrrn3	XP_015812800.1
Group_2154_0	XM_015957240	rna1777	strip2	XP_015812726.1
Group_8930_0	XM_015957087	rna1761	LOC107384056	XP_015812573.1
Group_94_25	XM_015957032	rna1756	wnt7b	XP_015812518.1
Group_1867_1	XM_015956827	rna1736	creld2	XP_015812313.1
Group_1115_0	XM_015956699	rna1719	LOC107383858	XP_015812185.1
Group_5661_0	XM_015956571	rna1708	LOC107383778	XP_015812057.1
Group_5909_0	XM_015956509	rna1698	LOC107383719	XP_015811995.1
Group_1145_1	XM_015976920	rna37610	LOC107397051	XP_015832406.1
Group_418_1	XM_015955605	rna1595	LOC107383140	XP_015811091.1
Group_7189_0	XM_015954800	rna1515	nudt5	XP_015810286.1
Group_7287_0	XM_015953611	rna1476	csgr01h12orf45	XP_015809097.1
Group_19_29	XM_015951925	rna1304	LOC107380623	XP_015807411.1
Group_416_6	XM_015975687	rna36353	adad1	XP_015831173.1
Group_1317_4	XM_015951390	rna1250	LOC107380237	XP_015806876.1
Group_1354_5	XM_015951377	rna1249	LOC107380232	XP_015806863.1
Group_6121_0	XM_015951314	rna1240	tmem33	XP_015806800.1
Group_2552_0	XM_015951162	rna1224	tapt1	XP_015806648.1
Group_3657_0	XM_015951110	rna1219	qdpr	XP_015806596.1
Group_48_25	XM_015950839	rna1190	glrb	XP_015806325.1
Group_2739_0	XM_015950812	rna1188	pdgfc	XP_015806298.1
Group_4290_0	XM_015950695	rna1175	tdo2	XP_015806181.1
Group_163_1	XM_015950640	rna1172	ctso	XP_015806126.1
Group_569_2	XM_015950627	rna1166	LOC107379728	XP_015806113.1
Group_584_5	XM_015950614	rna1165	lrit3	XP_015806100.1
Group_808_0	XM_015950481	rna1155	LOC107379637	XP_015805967.1
Group_145_0	XM_015975207	rna35867	LOC107395757	XP_015830693.1
Group_6_5	XM_015950392	rna1144	LOC107379583	XP_015805878.1
Group_215_6	XM_015950369	rna1141	LOC107379568	XP_015805855.1
Group_5718_0	XM_015950349	rna1139	maea	XP_015805835.1
Group_2508_1	XM_015950308	rna1134	spon2	XP_015805794.1
Group_2200_2	XM_015950231	rna1126	fgfrl1	XP_015805717.1
Group_5275_0	XM_015949598	rna1060	tmem35	XP_015805084.1
Group_4014_0	XM_015949585	rna1059	cenpi	XP_015805071.1
Group_1412_2	XM_015949529	rna1054	LOC107378992	XP_015805015.1
Group_206_2	XM_015949493	rna1052	LOC107378969	XP_015804979.1
Group_5348_0	XM_015949212	rna1020	gpr101	XP_015804698.1
Group_153_0	XM_015949189	rna1018	LOC107378785	XP_015804675.1
Group_111_8	XM_015949008	rna996	sox3	XP_015804494.1
Group_7_65	XM_015948994	rna995	p2ry4	XP_015804480.1
Group_516_3	XM_015948985	rna994	LOC107378661	XP_015804471.1
Group_500_3	XM_015948937	rna993	arr3	XP_015804423.1
Group_1399_1	XM_015948905	rna988	LOC107378595	XP_015804391.1
Group_826_5	XM_015948898	rna983	gdpd2	XP_015804384.1
Group_5400_0	XM_015948886	rna973	tex11	XP_015804372.1
Group_16_5	XM_015948787	rna971	LOC107378530	XP_015804273.1
Group_3287_0	XM_015954097	rna970	LOC107382102	XP_015809583.1
Group_1748_0	XM_015948686	rna962	LOC107378466	XP_015804172.1
Group_2308_0	XM_015948675	rna960	npas4	XP_015804161.1
Group_885_3	XM_015948595	rna951	ccdc85b	XP_015804081.1
Group_2667_0	XM_015948561	rna949	yif1a	XP_015804047.1
Group_1682_2	XM_015948550	rna943	cfl1	XP_015804036.1
Group_3012_1	XM_015948465	rna939	LOC107378322	XP_015803951.1
Group_444_5	XM_015948440	rna938	LOC107378306	XP_015803926.1
Group_2294_0	XM_015948260	rna914	srpx2	XP_015803746.1
Group_636_4	XM_015948177	rna901	nox1	XP_015803663.1
Group_2213_1	XM_015948216	rna900	xkrx	XP_015803702.1
Group_29_12	XM_015948113	rna899	arl13a	XP_015803599.1
Group_4545_0	XM_015948088	rna897	nkap	XP_015803574.1
Group_1826_1	XM_015948040	rna891	tmem255a	XP_015803526.1
Group_6762_0	XM_015948015	rna885	mcts1	XP_015803501.1
Group_320_7	XM_015947935	rna881	LOC107377951	XP_015803421.1
Group_535_6	XM_015947762	rna866	sowahd	XP_015803248.1
Group_7876_0	XM_015947775	rna865	LOC107377863	XP_015803261.1
Group_1802_1	XM_015947638	rna851	tnmd	XP_015803124.1
Group_2270_1	XM_015947477	rna838	gla	XP_015802963.1
Group_152_21	XM_015947256	rna816	LOC107377572	XP_015802742.1
Group_1484_1	XM_015947103	rna802	LOC107377481	XP_015802589.1
Group_1356_1	XM_015947090	rna799	fermt3	XP_015802576.1
Group_4376_0	XM_015946698	rna761	LOC107377225	XP_015802184.1
Group_421_5	XM_015946671	rna759	mid2	XP_015802157.1
Group_1512_2	XM_015946611	rna753	LOC107377168	XP_015802097.1
Group_8_66	XM_015946579	rna749	LOC107377141	XP_015802065.1
Group_1500_0	XM_015945732	rna655	tlx3	XP_015801218.1
Group_323_3	XM_015945700	rna652	dock2	XP_015801186.1
Group_8_76	XM_015945347	rna606	LOC107376311	XP_015800833.1
Group_752_2	XM_015945299	rna600	LOC107376280	XP_015800785.1
Group_5534_0	XM_015945151	rna586	kiaa0141	XP_015800637.1
Group_7662_0	XM_015945031	rna566	slc25a51	XP_015800517.1
Group_4394_0	XM_015944456	rna515	rbm22	XP_015799942.1
Group_55_5	XM_015944286	rna499	LOC107375644	XP_015799772.1
Group_518_0	XM_015953946	rna497	LOC107381993	XP_015809432.1
Group_987_2	XM_015944225	rna494	LOC107375611	XP_015799711.1
Group_5346_0	XM_015944139	rna485	slu7	XP_015799625.1
Group_190_12	XM_015944126	rna484	LOC107375544	XP_015799612.1
Group_19_54	XM_015944065	rna479	adra1b	XP_015799551.1
Group_1493_1	XM_015943972	rna469	reep2	XP_015799458.1
Group_1489_3	XM_015943828	rna454	phykpl	XP_015799314.1
Group_117_5	XM_015943778	rna440	LOC107375315	XP_015799264.1
Group_474_2	XM_015943673	rna439	LOC107375248	XP_015799159.1
Group_5748_0	XM_015943698	rna438	atp5o	XP_015799184.1
Group_599_5	XM_015943652	rna435	sfxn1	XP_015799138.1
Group_1397_2	XM_015943622	rna434	atp7a	XP_015799108.1
Group_129_14	XM_015943611	rna431	atp10b	XP_015799097.1
