rna0	XM_015955279
rna22687	XM_015961720
rna22688	XM_015961721
rna22689	XM_015961722
rna22690	XM_015961723
rna22691	XM_015961724
rna22692	XM_015961726
rna22693	XM_015961732
rna22694	XM_015961733
rna22695	XM_015961729
rna22696	XM_015961731
rna22697	XM_015961727
rna22698	XM_015961728
rna22699	XM_015961843
rna22700	XM_015961734
rna22701	XM_015961736
rna22702	XM_015961737
rna22704	XM_015961739
rna22705	XM_015961738
rna22706	XM_015961740
rna22707	XM_015961741
rna22708	XM_015961742
rna22709	XM_015961745
rna22710	XM_015961743
rna22711	XM_015961744
rna22713	XM_015961748
rna22714	XM_015961747
rna22715	XM_015961749
rna22716	XM_015961750
rna22717	XM_015961751
rna22718	XM_015961752
rna22719	XM_015961753
rna22720	XM_015961754
rna22721	XM_015961756
rna22722	XM_015961757
rna22723	XM_015961758
rna22724	XM_015961759
rna22725	XM_015961760
rna22726	XM_015961761
rna22727	XM_015961763
rna22728	XM_015961762
rna22729	XM_015961765
rna22730	XM_015961766
rna22731	XM_015961764
rna22732	XM_015961768
rna22733	XM_015961770
rna22735	XM_015961771
rna22737	XM_015961769
rna22738	XM_015961773
rna22739	XM_015961772
rna22741	XM_015961774
rna22742	XM_015961775
rna22743	XM_015961776
rna22744	XM_015961777
rna22745	XM_015961780
rna22746	XM_015961778
rna22748	XM_015961781
rna22749	XM_015961844
rna22750	XM_015961784
rna22751	XM_015961786
rna22752	XM_015961785
rna22753	XM_015961783
rna22754	XM_015961789
rna22755	XM_015961782
rna22756	XM_015961788
rna22758	XM_015961787
rna22759	XM_015961791
rna22760	XM_015961794
rna22761	XM_015961793
rna22762	XM_015961795
rna22763	XM_015961792
rna22764	XM_015961796
rna22765	XM_015961800
rna22766	XM_015961799
rna22767	XM_015961798
rna22768	XM_015961801
rna22769	XM_015961802
rna22770	XM_015961803
rna22771	XM_015961804
rna22772	XM_015961805
rna22774	XM_015961810
rna22775	XM_015961845
rna22776	XM_015961808
rna22777	XM_015961809
rna22778	XM_015961807
rna22779	XM_015961811
rna22780	XM_015961812
rna22781	XM_015961815
rna22782	XM_015961814
rna22783	XM_015961817
rna22784	XM_015961816
rna22785	XM_015961821
rna22786	XM_015961820
rna22787	XM_015961822
rna22788	XM_015961818
rna22789	XM_015961819
rna22790	XM_015961823
rna22791	XM_015961824
rna22792	XM_015961832
rna22793	XM_015961831
rna22794	XM_015961847
rna22795	XM_015961827
rna22796	XM_015961828
rna22797	XM_015961829
rna22798	XM_015961830
rna22799	XM_015961825
rna22800	XM_015961826
rna22801	XM_015961834
rna22802	XM_015961833
rna22803	XM_015961883
rna22804	XM_015961850
rna22805	XM_015961851
rna22806	XM_015961852
rna22808	XM_015961853
rna22809	XM_015961855
rna22810	XM_015961856
rna22811	XM_015961857
rna22812	XM_015961859
rna22813	XM_015961858
rna22814	XM_015961861
rna22815	XM_015961860
rna22816	XM_015961865
rna22817	XM_015961862
rna22818	XM_015961863
rna22819	XM_015961864
rna22820	XM_015961867
rna22821	XM_015961869
rna22822	XM_015961868
rna22823	XM_015961870
rna22824	XM_015961871
rna22825	XM_015961872
rna22826	XM_015961873
rna22828	XM_015961876
rna22829	XM_015961875
rna22830	XM_015961874
rna22832	XM_015961880
rna22833	XM_015961877
rna22834	XM_015961882
rna22836	XM_015961881
rna22838	XM_015961946
rna22840	XM_015961945
rna22841	XM_015961944
rna22842	XM_015961942
rna22843	XM_015961941
rna22844	XM_015961943
rna22846	XM_015961939
rna22847	XM_015961937
rna22848	XM_015961938
rna22849	XM_015961936
rna22850	XM_015961935
rna22853	XM_015961934
rna22854	XM_015961932
rna22855	XM_015961933
rna22856	XM_015961927
rna22857	XM_015961929
rna22858	XM_015961928
rna22859	XM_015961930
rna22860	XM_015961924
rna22861	XM_015961923
rna22862	XM_015961926
rna22863	XM_015961925
rna22865	XM_015961920
rna22866	XM_015961922
rna22867	XM_015961918
rna22868	XM_015961919
rna22869	XM_015961917
rna22870	XM_015961915
rna22871	XM_015961916
rna22872	XM_015961914
rna22873	XM_015961913
rna22874	XM_015961911
rna22875	XM_015961910
rna22877	XM_015961909
rna22878	XM_015961907
rna22879	XM_015961908
rna22880	XM_015961906
rna22881	XM_015961904
rna22882	XM_015961903
rna22884	XM_015961901
rna22885	XM_015961902
rna22886	XM_015961900
rna22887	XM_015961899
rna22888	XM_015961898
rna22889	XM_015961896
rna22890	XM_015961895
rna22891	XM_015961894
rna22892	XM_015961893
rna22893	XM_015961892
rna22894	XM_015961891
rna22895	XM_015961890
rna22896	XM_015961889
rna22897	XM_015961888
rna22898	XM_015961887
rna22899	XM_015961885
rna22901	XM_015961948
rna22902	XM_015961884
rna22903	XM_015961954
rna22904	XM_015961949
rna22905	XM_015961950
rna22906	XM_015961952
rna22907	XM_015961951
rna22908	XM_015961955
rna22909	XM_015961958
rna22910	XM_015961957
rna22911	XM_015961956
rna22912	XM_015961968
rna22913	XM_015961963
rna22914	XM_015961960
rna22915	XM_015961965
rna22916	XM_015961961
rna22917	XM_015961962
rna22918	XM_015961967
rna22919	XM_015961966
rna22920	XM_015961971
rna22921	XM_015962069
rna22922	XM_015961969
rna22923	XM_015961970
rna22924	XM_015961972
rna22926	XM_015961974
rna22927	XM_015962074
rna22928	XM_015961975
rna22929	XM_015961976
rna22930	XM_015962070
rna22931	XM_015961977
rna22932	XM_015962076
rna22933	XM_015962071
rna22934	XM_015961978
rna22935	XM_015961981
rna22937	XM_015961979
rna22938	XM_015961982
rna22939	XM_015961983
rna22940	XM_015961984
rna22941	XM_015961985
rna22942	XM_015961986
rna22943	XM_015961988
rna22944	XM_015961990
rna22945	XM_015961989
rna22946	XM_015961991
rna22947	XM_015961992
rna22948	XM_015961993
rna22949	XM_015961996
rna22950	XM_015961997
rna22951	XM_015961994
rna22953	XM_015961998
rna22954	XM_015961999
rna22955	XM_015962003
rna22956	XM_015962002
rna22957	XM_015962001
rna22958	XM_015962004
rna22959	XM_015962000
rna22960	XM_015962005
rna22961	XM_015962006
rna22962	XM_015962007
rna22963	XM_015962008
rna22964	XM_015962012
rna22965	XM_015962009
rna22966	XM_015962010
rna22967	XM_015962011
rna22968	XM_015962013
rna22969	XM_015962014
rna22970	XM_015962016
rna22972	XM_015962017
rna22973	XM_015962019
rna22974	XM_015962021
rna22975	XM_015962018
rna22976	XM_015962020
rna22977	XM_015962022
rna22978	XM_015962023
rna22979	XM_015962024
rna22981	XM_015962025
rna22982	XM_015962072
rna22983	XM_015962026
rna22984	XM_015962029
rna22985	XM_015962028
rna22986	XM_015962031
rna22987	XM_015962030
rna22988	XM_015962034
rna22989	XM_015962032
rna22990	XM_015962033
rna22991	XM_015962037
rna22992	XM_015962042
rna22993	XM_015962035
rna22994	XM_015962036
rna22995	XM_015962039
rna22996	XM_015962040
rna22997	XM_015962038
rna22998	XM_015962043
rna22999	XM_015962044
rna23000	XM_015962045
rna23001	XM_015962046
rna23002	XM_015962047
rna23003	XM_015962053
rna23004	XM_015962048
rna23005	XM_015962049
rna23006	XM_015962050
rna23007	XM_015962051
rna23009	XM_015962073
rna23010	XM_015962054
rna23011	XM_015962055
rna23012	XM_015962056
rna23013	XM_015962065
rna23014	XM_015962062
rna23015	XM_015962060
rna23016	XM_015962059
rna23017	XM_015962058
rna23018	XM_015962057
rna23019	XM_015962061
rna23020	XM_015962063
rna23021	XM_015962066
rna23022	XM_015962067
rna23023	XM_015962068
rna23024	XM_015962389
rna23025	XM_015962388
rna23026	XM_015962390
rna23027	XM_015962387
rna23028	XM_015962385
rna23029	XM_015962382
rna23030	XM_015962383
rna23031	XM_015962378
rna23032	XM_015962381
rna23034	XM_015962379
rna23035	XM_015962380
rna23036	XM_015962384
rna23037	XM_015962377
rna23038	XM_015962371
rna23039	XM_015962374
rna23040	XM_015962372
rna23041	XM_015962375
rna23042	XM_015962376
rna23043	XM_015962367
rna23045	XM_015962369
rna23046	XM_015962368
rna23047	XM_015962370
rna23048	XM_015962366
rna23049	XM_015962364
rna23050	XM_015962363
rna23051	XM_015962401
rna23052	XM_015962362
rna23053	XM_015962361
rna23054	XM_015962359
rna23055	XM_015962360
rna23056	XM_015962358
rna23057	XM_015962352
rna23058	XM_015962351
rna23059	XM_015962355
rna23060	XM_015962354
rna23061	XM_015962353
rna23063	XM_015962356
rna23064	XM_015962350
rna23065	XM_015962349
rna23066	XM_015962344
rna23067	XM_015962346
rna23068	XM_015962347
rna23069	XM_015962348
rna23070	XM_015962343
rna23071	XM_015962342
rna23072	XM_015962341
rna23073	XM_015962340
rna23074	XM_015962339
rna23075	XM_015962338
rna23076	XM_015962336
rna23077	XM_015962337
rna23078	XM_015962335
rna23080	XM_015962332
rna23081	XM_015962334
rna23082	XM_015962331
rna23083	XM_015962330
rna23084	XM_015962329
rna23085	XM_015962328
rna23086	XM_015962327
rna23087	XM_015962326
rna23088	XM_015962324
rna23089	XM_015962323
rna23090	XM_015962318
rna23091	XM_015962320
rna23092	XM_015962316
rna23093	XM_015962317
rna23094	XM_015962319
rna23095	XM_015962322
rna23096	XM_015962315
rna23097	XM_015962314
rna23098	XM_015962312
rna23099	XM_015962313
rna23100	XM_015962307
rna23101	XM_015962310
rna23102	XM_015962308
rna23103	XM_015962311
rna23104	XM_015962306
rna23106	XM_015962305
rna23107	XM_015962304
rna23108	XM_015962303
rna23109	XM_015962302
rna23110	XM_015962298
rna23111	XM_015962301
rna23112	XM_015962300
rna23113	XM_015962299
rna23114	XM_015962296
rna23115	XM_015962294
rna23116	XM_015962295
rna23117	XM_015962292
rna23118	XM_015962291
rna23119	XM_015962293
rna23120	XM_015962289
rna23121	XM_015962288
rna23122	XM_015962287
rna23123	XM_015962285
rna23124	XM_015962286
rna23125	XM_015962391
rna23126	XM_015962284
rna23127	XM_015962400
rna23128	XM_015962275
rna23129	XM_015962279
rna23130	XM_015962276
rna23131	XM_015962280
rna23132	XM_015962278
rna23133	XM_015962277
rna23134	XM_015962283
rna23135	XM_015962282
rna23136	XM_015962274
rna23139	XM_015962273
rna23142	XM_015962271
rna23144	XM_015962270
rna23145	XM_015962399
rna23146	XM_015962269
rna23147	XM_015962268
rna23148	XM_015962266
rna23149	XM_015962265
rna23150	XM_015962264
rna23151	XM_015962267
rna23152	XM_015962263
rna23153	XM_015962260
rna23154	XM_015962262
rna23155	XM_015962257
rna23156	XM_015962258
rna23157	XM_015962259
rna23158	XM_015962256
rna23159	XM_015962254
rna23160	XM_015962255
rna23161	XM_015962253
rna23162	XM_015962252
rna23163	XM_015962251
rna23164	XM_015962250
rna23165	XM_015962249
rna23166	XM_015962248
rna23167	XM_015962246
rna23168	XM_015962245
rna23169	XM_015962244
rna23170	XM_015962243
rna23171	XM_015962239
rna23172	XM_015962241
rna23173	XM_015962240
rna23174	XM_015962242
rna23175	XM_015962238
rna23176	XM_015962237
rna23177	XM_015962236
rna23178	XM_015962235
rna23179	XM_015962231
rna23180	XM_015962232
rna23181	XM_015962233
rna23182	XM_015962229
rna23183	XM_015962230
rna23184	XM_015962228
rna23185	XM_015962226
rna23186	XM_015962224
rna23187	XM_015962223
rna23188	XM_015962221
rna23189	XM_015962222
rna23190	XM_015962225
rna23191	XM_015962220
rna23192	XM_015962397
rna23193	XM_015962396
rna23194	XM_015962218
rna23195	XM_015962219
rna23196	XM_015962217
rna23197	XM_015962215
rna23198	XM_015962216
rna23199	XM_015962212
rna23200	XM_015962213
rna23201	XM_015962210
rna23202	XM_015962211
rna23204	XM_015962208
rna23205	XM_015962209
rna23206	XM_015962402
rna23207	XM_015962403
rna23208	XM_015962205
rna23209	XM_015962207
rna23210	XM_015962203
rna23211	XM_015962204
rna23212	XM_015962200
rna23213	XM_015962202
rna23214	XM_015962199
rna23215	XM_015962198
rna23216	XM_015962197
rna23217	XM_015962196
rna23218	XM_015962195
rna23219	XM_015962192
rna23220	XM_015962191
rna23221	XM_015962193
rna23222	XM_015962190
rna23223	XM_015962188
rna23224	XM_015962189
rna23225	XM_015962185
rna23226	XM_015962186
rna23227	XM_015962187
rna23228	XM_015962183
rna23229	XM_015962182
rna23230	XM_015962181
rna23231	XM_015962180
rna23232	XM_015962179
rna23233	XM_015962174
rna23234	XM_015962176
rna23235	XM_015962177
rna23236	XM_015962173
rna23237	XM_015962175
rna23238	XM_015962178
rna23239	XM_015962171
rna23240	XM_015962170
rna23241	XM_015962395
rna23242	XM_015962154
rna23243	XM_015962155
rna23244	XM_015962156
rna23245	XM_015962157
rna23246	XM_015962159
rna23247	XM_015962164
rna23248	XM_015962158
rna23249	XM_015962160
rna23250	XM_015962165
rna23251	XM_015962161
rna23252	XM_015962162
rna23253	XM_015962166
rna23254	XM_015962167
rna23255	XM_015962168
rna23256	XM_015962169
rna23257	XM_015962153
rna23258	XM_015962152
rna23259	XM_015962394
rna23262	XM_015962393
rna23263	XM_015962149
rna23264	XM_015962151
rna23265	XM_015962147
rna23266	XM_015962148
rna23267	XM_015962146
rna23269	XM_015962144
rna23270	XM_015962145
rna23271	XM_015962143
rna23273	XM_015962121
rna23274	XM_015962125
rna23275	XM_015962130
rna23276	XM_015962128
rna23277	XM_015962129
rna23278	XM_015962126
rna23279	XM_015962131
rna23280	XM_015962132
rna23281	XM_015962138
rna23282	XM_015962139
rna23283	XM_015962135
rna23284	XM_015962134
rna23285	XM_015962137
rna23286	XM_015962122
rna23287	XM_015962123
rna23288	XM_015962124
rna23289	XM_015962141
rna23290	XM_015962133
rna23291	XM_015962142
rna23292	XM_015962136
rna23293	XM_015962120
rna23294	XM_015962392
rna23295	XM_015962116
rna23296	XM_015962115
rna23297	XM_015962117
rna23298	XM_015962119
rna23299	XM_015962113
rna23300	XM_015962112
rna23301	XM_015962114
rna23304	XM_015962111
rna23305	XM_015962110
rna23306	XM_015962109
rna23308	XM_015962108
rna23309	XM_015962105
rna23310	XM_015962106
rna23311	XM_015962103
rna23312	XM_015962104
rna23313	XM_015962101
rna23314	XM_015962102
rna23316	XM_015962099
rna23318	XM_015962098
rna23319	XM_015962097
rna23320	XM_015962093
rna23321	XM_015962095
rna23322	XM_015962096
rna23323	XM_015962094
rna23324	XM_015962090
rna23325	XM_015962091
rna23326	XM_015962089
rna23327	XM_015962088
rna23328	XM_015962087
rna23329	XM_015962086
rna23330	XM_015962081
rna23331	XM_015962084
rna23332	XM_015962085
rna23333	XM_015962080
rna23334	XM_015962079
rna23335	XM_015962078
rna23337	XM_015962077
rna23338	XM_015962535
rna23339	XM_015962533
rna23340	XM_015962531
rna23341	XM_015962532
rna23342	XM_015962534
rna23343	XM_015962530
rna23344	XM_015962527
rna23345	XM_015962526
rna23346	XM_015962528
rna23347	XM_015962523
rna23348	XM_015962525
rna23349	XM_015962522
rna23350	XM_015962521
rna23353	XM_015962520
rna23354	XM_015962508
rna23355	XM_015962506
rna23356	XM_015962507
rna23357	XM_015962509
rna23358	XM_015962511
rna23359	XM_015962512
rna23360	XM_015962513
rna23361	XM_015962518
rna23362	XM_015962515
rna23363	XM_015962514
rna23364	XM_015962516
rna23365	XM_015962517
rna23366	XM_015962504
rna23367	XM_015962503
rna23368	XM_015962505
rna23369	XM_015962501
rna23370	XM_015962502
rna23371	XM_015962500
rna23372	XM_015962499
rna23373	XM_015962495
rna23374	XM_015962490
rna23375	XM_015962493
rna23376	XM_015962492
rna23377	XM_015962489
rna23378	XM_015962491
rna23379	XM_015962496
rna23380	XM_015962498
rna23381	XM_015962494
rna23382	XM_015962488
rna23383	XM_015962487
rna23384	XM_015962485
rna23385	XM_015962486
rna23386	XM_015962483
rna23388	XM_015962482
rna23389	XM_015962481
rna23390	XM_015962480
rna23391	XM_015962479
rna23392	XM_015962477
rna23393	XM_015962478
rna23394	XM_015962476
rna23395	XM_015962475
rna23396	XM_015962472
rna23397	XM_015962471
rna23398	XM_015962473
rna23399	XM_015962469
rna23400	XM_015962470
rna23401	XM_015962468
rna23402	XM_015962466
rna23403	XM_015962465
rna23404	XM_015962467
rna23405	XM_015962464
rna23407	XM_015962463
rna23408	XM_015962461
rna23409	XM_015962460
rna23410	XM_015962459
rna23411	XM_015962452
rna23412	XM_015962451
rna23413	XM_015962455
rna23414	XM_015962453
rna23415	XM_015962454
rna23416	XM_015962458
rna23417	XM_015962456
rna23418	XM_015962457
rna23419	XM_015962449
rna23420	XM_015962446
rna23421	XM_015962448
rna23422	XM_015962447
rna23423	XM_015962445
rna23424	XM_015962444
rna23425	XM_015962443
rna23426	XM_015962442
rna23427	XM_015962438
rna23428	XM_015962440
rna23429	XM_015962437
rna23430	XM_015962439
rna23431	XM_015962435
rna23432	XM_015962433
rna23433	XM_015962434
rna23434	XM_015962432
rna23435	XM_015962431
rna23436	XM_015962430
rna23437	XM_015962428
rna23438	XM_015962429
rna23439	XM_015962426
rna23440	XM_015962425
rna23441	XM_015962427
rna23442	XM_015962421
rna23443	XM_015962419
rna23444	XM_015962420
rna23445	XM_015962424
rna23446	XM_015962422
rna23447	XM_015962418
rna23448	XM_015962417
rna23449	XM_015962415
rna23450	XM_015962409
rna23451	XM_015962407
rna23452	XM_015962408
rna23453	XM_015962410
rna23454	XM_015962416
rna23455	XM_015962411
rna23456	XM_015962414
rna23457	XM_015962413
rna23458	XM_015962406
rna23459	XM_015962405
rna23460	XM_015962650
rna23462	XM_015962651
rna23464	XM_015962652
rna23465	XM_015962654
rna23466	XM_015962655
rna23467	XM_015962656
rna23468	XM_015962658
rna23469	XM_015962659
rna23470	XM_015962657
rna23471	XM_015962660
rna23472	XM_015962661
rna23474	XM_015962662
rna23475	XM_015962663
rna23476	XM_015962664
rna23478	XM_015962666
rna23479	XM_015962667
rna23480	XM_015962536
rna23482	XM_015962668
rna23483	XM_015962671
rna23484	XM_015962670
rna23485	XM_015962669
rna23486	XM_015962673
rna23487	XM_015962672
rna23488	XM_015962678
rna23489	XM_015962675
rna23490	XM_015962674
rna23491	XM_015962676
rna23492	XM_015962679
rna23493	XM_015962680
rna23494	XM_015962681
rna23495	XM_015962689
rna23496	XM_015962686
rna23497	XM_015962712
rna23498	XM_015962711
rna23499	XM_015962693
rna23500	XM_015962687
rna23501	XM_015962684
rna23502	XM_015962694
rna23503	XM_015962692
rna23504	XM_015962690
rna23505	XM_015962685
rna23506	XM_015962682
rna23507	XM_015962683
rna23508	XM_015962698
rna23509	XM_015962697
rna23510	XM_015962701
rna23511	XM_015962710
rna23512	XM_015962709
rna23513	XM_015962706
rna23514	XM_015962708
rna23515	XM_015962704
rna23516	XM_015962695
rna23517	XM_015962700
rna23518	XM_015962696
rna23519	XM_015962705
rna23520	XM_015962703
rna23521	XM_015962699
rna23522	XM_015962702
rna23523	XM_015962722
rna23524	XM_015962720
rna23525	XM_015962721
rna23526	XM_015962718
rna23527	XM_015962724
rna23528	XM_015962723
rna23529	XM_015962727
rna23530	XM_015962726
rna23531	XM_015962725
rna23532	XM_015962688
rna23533	XM_015962714
rna23534	XM_015962715
rna23535	XM_015962717
rna23536	XM_015962716
rna23537	XM_015962728
rna23538	XM_015962730
rna23539	XM_015962732
rna23540	XM_015962729
rna23541	XM_015962731
rna23543	XM_015962734
rna23544	XM_015962735
rna23545	XM_015962641
rna23546	XM_015962737
rna23547	XM_015962736
rna23549	XM_015962738
rna23550	XM_015962739
rna23551	XM_015962742
rna23552	XM_015962741
rna23553	XM_015962740
rna23554	XM_015962743
rna23555	XM_015962745
rna23556	XM_015962537
rna23557	XM_015962746
rna23558	XM_015962747
rna23559	XM_015962538
rna23560	XM_015962749
rna23561	XM_015962748
rna23562	XM_015962750
rna23563	XM_015962751
rna23564	XM_015962753
rna23565	XM_015962752
rna23566	XM_015962754
rna23567	XM_015962756
rna23568	XM_015962755
rna23570	XM_015962758
rna23571	XM_015962759
rna23572	XM_015962760
rna23573	XM_015962761
rna23574	XM_015962762
rna23575	XM_015962764
rna23576	XM_015962763
rna23577	XM_015962765
rna23578	XM_015962766
rna23579	XM_015962767
rna23580	XM_015962768
rna23581	XM_015962770
rna23582	XM_015962771
rna23583	XM_015962773
rna23584	XM_015962772
rna23585	XM_015962774
rna23586	XM_015962775
rna23587	XM_015962776
rna23588	XM_015962777
rna23589	XM_015962778
rna23590	XM_015962779
rna23591	XM_015962780
rna23592	XM_015962781
rna23593	XM_015962782
rna23594	XM_015962784
rna23595	XM_015962785
rna23596	XM_015962786
rna23597	XM_015962787
rna23598	XM_015962789
rna23599	XM_015962788
rna23601	XM_015962790
rna23602	XM_015962791
rna23603	XM_015962795
rna23604	XM_015962792
rna23605	XM_015962794
rna23606	XM_015962797
rna23607	XM_015962796
rna23609	XM_015962798
rna23610	XM_015962799
rna23611	XM_015962800
rna23612	XM_015962539
rna23613	XM_015962801
rna23614	XM_015962802
rna23615	XM_015962809
rna23616	XM_015962806
rna23617	XM_015962808
rna23618	XM_015962805
rna23619	XM_015962807
rna23620	XM_015962803
rna23626	XM_015962810
rna23627	XM_015962811
rna23629	XM_015962812
rna23630	XM_015962813
rna23631	XM_015962815
rna23632	XM_015962816
rna23633	XM_015962817
rna23634	XM_015962818
rna23636	XM_015962820
rna23637	XM_015962821
rna23638	XM_015962823
rna23639	XM_015962822
rna23640	XM_015962819
rna23641	XM_015962824
rna23642	XM_015962825
rna23643	XM_015962827
rna23644	XM_015962828
rna23645	XM_015962829
rna23646	XM_015962830
rna23647	XM_015962831
rna23648	XM_015962832
rna23649	XM_015962834
rna23650	XM_015962833
rna23651	XM_015962835
rna23652	XM_015962836
rna23653	XM_015962840
rna23654	XM_015962838
rna23655	XM_015962837
rna23656	XM_015962541
rna23657	XM_015962841
rna23658	XM_015962542
rna23659	XM_015962543
rna23660	XM_015962844
rna23661	XM_015962843
rna23662	XM_015962842
rna23663	XM_015962845
rna23664	XM_015962846
rna23666	XM_015962848
rna23667	XM_015962849
rna23669	XM_015962851
rna23670	XM_015962853
rna23671	XM_015962854
rna23672	XM_015962852
rna23673	XM_015962850
rna23674	XM_015962855
rna23675	XM_015962856
rna23678	XM_015962857
rna23679	XM_015962860
rna23680	XM_015962858
rna23681	XM_015962861
rna23682	XM_015962865
rna23683	XM_015962863
rna23684	XM_015962864
rna23685	XM_015962866
rna23686	XM_015962862
rna23687	XM_015962868
rna23688	XM_015962867
rna23689	XM_015962869
rna23690	XM_015962871
rna23691	XM_015962870
rna23693	XM_015962875
rna23694	XM_015962873
rna23695	XM_015962878
rna23696	XM_015962877
rna23697	XM_015962879
rna23698	XM_015962874
rna23699	XM_015962876
rna23700	XM_015962880
rna23702	XM_015962881
rna23703	XM_015962882
rna23704	XM_015962884
rna23705	XM_015962885
rna23706	XM_015962886
rna23707	XM_015962893
rna23708	XM_015962891
rna23709	XM_015962890
rna23710	XM_015962887
rna23711	XM_015962889
rna23712	XM_015962888
rna23713	XM_015962892
rna23714	XM_015962901
rna23715	XM_015962899
rna23716	XM_015962896
rna23717	XM_015962894
rna23718	XM_015962895
rna23719	XM_015962900
rna23720	XM_015962898
rna23721	XM_015962902
rna23722	XM_015962906
rna23723	XM_015962903
rna23724	XM_015962905
rna23725	XM_015962904
rna23726	XM_015962907
rna23727	XM_015962908
rna23729	XM_015962910
rna23730	XM_015962911
rna23731	XM_015962912
rna23732	XM_015962914
rna23733	XM_015962913
rna23734	XM_015962917
rna23736	XM_015962918
rna23737	XM_015962915
rna23739	XM_015962919
rna23740	XM_015962921
rna23741	XM_015962920
rna23743	XM_015962922
rna23744	XM_015962924
rna23745	XM_015962925
rna23746	XM_015962926
rna23747	XM_015962927
rna23748	XM_015962928
rna23749	XM_015962544
rna23750	XM_015962929
rna23751	XM_015962931
rna23752	XM_015962932
rna23753	XM_015962940
rna23754	XM_015962939
rna23755	XM_015962938
rna23756	XM_015962935
rna23757	XM_015962934
rna23758	XM_015962936
rna23759	XM_015962937
rna23760	XM_015962933
rna23761	XM_015962942
rna23762	XM_015962941
rna23763	XM_015962943
rna23764	XM_015962945
rna23765	XM_015962947
rna23766	XM_015962946
rna23767	XM_015962950
rna23768	XM_015962948
rna23769	XM_015962949
rna23770	XM_015962952
rna23771	XM_015962951
rna23772	XM_015962953
rna23773	XM_015962954
rna23774	XM_015962545
rna23775	XM_015962955
rna23776	XM_015962957
rna23777	XM_015962958
rna23778	XM_015962959
rna23779	XM_015962962
rna23781	XM_015962966
rna23782	XM_015962961
rna23783	XM_015962963
rna23784	XM_015962965
rna23785	XM_015962964
rna23786	XM_015962967
rna23787	XM_015962968
rna23788	XM_015962970
rna23789	XM_015962971
rna23790	XM_015962972
rna23791	XM_015962973
rna23794	XM_015962546
rna23795	XM_015962977
rna23796	XM_015962974
rna23797	XM_015962975
rna23798	XM_015962978
rna23799	XM_015962982
rna23800	XM_015962980
rna23801	XM_015962979
rna23802	XM_015962981
rna23804	XM_015962983
rna23805	XM_015962985
rna23806	XM_015962987
rna23807	XM_015962986
rna23808	XM_015962988
rna23809	XM_015962989
rna23810	XM_015962990
rna23811	XM_015962991
rna23812	XM_015962993
rna23813	XM_015962994
rna23814	XM_015962995
rna23815	XM_015962996
rna23816	XM_015962997
rna23817	XM_015962998
rna23819	XM_015962999
rna23820	XM_015963000
rna23821	XM_015963002
rna23822	XM_015963003
rna23823	XM_015963004
rna23824	XM_015963005
rna23825	XM_015963006
rna23826	XM_015963007
rna23827	XM_015963008
rna23828	XM_015963009
rna23829	XM_015963010
rna23830	XM_015963011
rna23831	XM_015963014
rna23832	XM_015963012
rna23833	XM_015963016
rna23834	XM_015963015
rna23835	XM_015963017
rna23836	XM_015963021
rna23837	XM_015963018
rna23838	XM_015963020
rna23839	XM_015963019
rna23840	XM_015963022
rna23841	XM_015963025
rna23842	XM_015963023
rna23843	XM_015963027
rna23844	XM_015963026
rna23845	XM_015963028
rna23846	XM_015963031
rna23847	XM_015963030
rna23848	XM_015963029
rna23849	XM_015963034
rna23850	XM_015963033
rna23851	XM_015963032
rna23852	XM_015963037
rna23853	XM_015963038
rna23854	XM_015963039
rna23855	XM_015963035
rna23856	XM_015963040
rna23857	XM_015963043
rna23858	XM_015963042
rna23859	XM_015963044
rna23860	XM_015963045
rna23861	XM_015963047
rna23862	XM_015963046
rna23863	XM_015963048
rna23864	XM_015963049
rna23865	XM_015963052
rna23866	XM_015963053
rna23867	XM_015963051
rna23868	XM_015963057
rna23869	XM_015963056
rna23870	XM_015963055
rna23871	XM_015963054
rna23872	XM_015963063
rna23873	XM_015963062
rna23874	XM_015963058
rna23875	XM_015963061
rna23876	XM_015963060
rna23878	XM_015963065
rna23879	XM_015963064
rna23881	XM_015963073
rna23882	XM_015963066
rna23883	XM_015963071
rna23884	XM_015963070
rna23885	XM_015963072
rna23886	XM_015963069
rna23887	XM_015963068
rna23888	XM_015963074
rna23889	XM_015962566
rna23890	XM_015962568
rna23891	XM_015962567
rna23892	XM_015962570
rna23893	XM_015962571
rna23894	XM_015962581
rna23895	XM_015962579
rna23896	XM_015962580
rna23897	XM_015962578
rna23898	XM_015962574
rna23899	XM_015962572
rna23900	XM_015962575
rna23901	XM_015962573
rna23902	XM_015962576
rna23904	XM_015962582
rna23905	XM_015962583
rna23906	XM_015962588
rna23907	XM_015962585
rna23908	XM_015962584
rna23909	XM_015962587
rna23910	XM_015962586
rna23912	XM_015962590
rna23913	XM_015962592
rna23914	XM_015962591
rna23915	XM_015962593
rna23916	XM_015962594
rna23917	XM_015962596
rna23918	XM_015962597
rna23919	XM_015962595
rna23920	XM_015962600
rna23921	XM_015962598
rna23922	XM_015962601
rna23923	XM_015962599
rna23924	XM_015962620
rna23925	XM_015962621
rna23926	XM_015962622
rna23927	XM_015962623
rna23928	XM_015962624
rna23929	XM_015962604
rna23930	XM_015962609
rna23931	XM_015962603
rna23932	XM_015962605
rna23933	XM_015962607
rna23934	XM_015962611
rna23935	XM_015962606
rna23936	XM_015962608
rna23937	XM_015962617
rna23938	XM_015962625
rna23939	XM_015962627
