ENSLOCP00000000416	lcat (1 of many)	lecithin-cholesterol acyltransferase [Source:ZFIN%3BAcc:ZDB-GENE-010716-3]
ENSLOCP00000018082	vwa7	von Willebrand factor A domain containing 7 [Source:ZFIN%3BAcc:ZDB-GENE-060503-234]
ENSLOCP00000018084	zgc:171927	zgc:171927 [Source:ZFIN%3BAcc:ZDB-GENE-070822-21]
ENSLOCP00000018088	unknown	unknown
ENSLOCP00000018091	chp2	calcineurin-like EF-hand protein 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-5810]
ENSLOCP00000018097	timm50	translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae) [Source:ZFIN%3BAcc:ZDB-GENE-040426-1618]
ENSLOCP00000018101	SUPT5H	SPT5 homolog%2C DSIF elongation factor subunit [Source:HGNC Symbol%3BAcc:HGNC:11469]
ENSLOCP00000018103	SUPT5H	SPT5 homolog%2C DSIF elongation factor subunit [Source:HGNC Symbol%3BAcc:HGNC:11469]
ENSLOCP00000018109	unknown	unknown
ENSLOCP00000018114	ccdc61	coiled-coil domain containing 61 [Source:ZFIN%3BAcc:ZDB-GENE-060929-348]
ENSLOCP00000018119	vaspa	vasodilator-stimulated phosphoprotein a [Source:ZFIN%3BAcc:ZDB-GENE-070424-68]
ENSLOCP00000018122	unknown	unknown
ENSLOCP00000018127	spint2	serine peptidase inhibitor%2C Kunitz type%2C 2 [Source:ZFIN%3BAcc:ZDB-GENE-061013-323]
ENSLOCP00000018129	spint2	serine peptidase inhibitor%2C Kunitz type%2C 2 [Source:ZFIN%3BAcc:ZDB-GENE-061013-323]
ENSLOCP00000018132	unknown	unknown
ENSLOCP00000018138	exoc3l2b	exocyst complex component 3-like 2b [Source:ZFIN%3BAcc:ZDB-GENE-100728-5]
ENSLOCP00000021825	si:dkey-182i3.11	si:dkey-182i3.11 [Source:ZFIN%3BAcc:ZDB-GENE-121214-258]
ENSLOCP00000018146	si:dkey-31m14.7	si:dkey-31m14.7 [Source:ZFIN%3BAcc:ZDB-GENE-121214-92]
ENSLOCP00000018149	si:dkey-31m14.7	si:dkey-31m14.7 [Source:ZFIN%3BAcc:ZDB-GENE-121214-92]
ENSLOCP00000018155	ckmb	creatine kinase%2C muscle b [Source:ZFIN%3BAcc:ZDB-GENE-040426-2128]
ENSLOCP00000018162	klc3	kinesin light chain 3 [Source:ZFIN%3BAcc:ZDB-GENE-060929-772]
ENSLOCP00000018167	zgc:101731	zgc:101731 [Source:ZFIN%3BAcc:ZDB-GENE-040912-57]
ENSLOCP00000018173	capns1b	calpain%2C small subunit 1 b [Source:ZFIN%3BAcc:ZDB-GENE-030131-5206]
ENSLOCP00000018182	zgc:162698	zgc:162698 [Source:ZFIN%3BAcc:ZDB-GENE-041111-185]
ENSLOCP00000021826	unknown	unknown
ENSLOCP00000018184	si:ch211-137a8.2	si:ch211-137a8.2 [Source:ZFIN%3BAcc:ZDB-GENE-061103-172]
ENSLOCP00000018188	alkbh6	alkB homolog 6 [Source:ZFIN%3BAcc:ZDB-GENE-060407-1]
ENSLOCP00000018199	clip3	CAP-GLY domain containing linker protein 3 [Source:ZFIN%3BAcc:ZDB-GENE-131127-193]
ENSLOCP00000018197	clip3	CAP-GLY domain containing linker protein 3 [Source:ZFIN%3BAcc:ZDB-GENE-131127-193]
ENSLOCP00000018205	unknown	unknown
ENSLOCP00000018211	gipr	gastric inhibitory polypeptide receptor [Source:ZFIN%3BAcc:ZDB-GENE-050516-4]
ENSLOCP00000018221	eml2	echinoderm microtubule associated protein like 2 [Source:ZFIN%3BAcc:ZDB-GENE-050706-71]
ENSLOCP00000018224	eml2	echinoderm microtubule associated protein like 2 [Source:ZFIN%3BAcc:ZDB-GENE-050706-71]
ENSLOCP00000021827	gpr4	G protein-coupled receptor 4 [Source:ZFIN%3BAcc:ZDB-GENE-101202-1]
ENSLOCP00000018226	unknown	unknown
ENSLOCP00000018230	nova2	neuro-oncological ventral antigen 2 [Source:ZFIN%3BAcc:ZDB-GENE-080211-1]
ENSLOCP00000018231	nova2	neuro-oncological ventral antigen 2 [Source:ZFIN%3BAcc:ZDB-GENE-080211-1]
ENSLOCP00000018232	foxa3	forkhead box A3 [Source:ZFIN%3BAcc:ZDB-GENE-980526-423]
ENSLOCP00000018234	pld3	phospholipase D family%2C member 3 [Source:ZFIN%3BAcc:ZDB-GENE-050419-212]
ENSLOCP00000018237	pld3	phospholipase D family%2C member 3 [Source:ZFIN%3BAcc:ZDB-GENE-050419-212]
ENSLOCP00000018238	unknown	unknown
ENSLOCP00000018242	unknown	unknown
ENSLOCP00000018247	polr2i	polymerase (RNA) II (DNA directed) polypeptide I [Source:ZFIN%3BAcc:ZDB-GENE-041010-106]
ENSLOCP00000018249	unknown	unknown
ENSLOCP00000018251	pglyrp5	peptidoglycan recognition protein 5 [Source:ZFIN%3BAcc:ZDB-GENE-050419-71]
ENSLOCP00000021828	foxg1c	forkhead box G1c [Source:ZFIN%3BAcc:ZDB-GENE-050419-26]
ENSLOCP00000018254	snrpd2	small nuclear ribonucleoprotein D2 polypeptide [Source:ZFIN%3BAcc:ZDB-GENE-040914-10]
ENSLOCP00000018256	unknown	unknown
ENSLOCP00000018258	unknown	unknown
ENSLOCP00000018262	wdr62	WD repeat domain 62 [Source:ZFIN%3BAcc:ZDB-GENE-060503-291]
ENSLOCP00000018267	qpctlb	glutaminyl-peptide cyclotransferase-like b [Source:ZFIN%3BAcc:ZDB-GENE-091118-40]
ENSLOCP00000018271	six9	SIX homeobox 9 [Source:ZFIN%3BAcc:ZDB-GENE-990621-11]
ENSLOCP00000018274	six5	SIX homeobox 5 [Source:ZFIN%3BAcc:ZDB-GENE-010201-3]
ENSLOCP00000018277	tbcb	tubulin folding cofactor B [Source:ZFIN%3BAcc:ZDB-GENE-030131-9296]
ENSLOCP00000021829	sdhaf1	succinate dehydrogenase complex assembly factor 1 [Source:ZFIN%3BAcc:ZDB-GENE-050809-56]
ENSLOCP00000018281	clptm1	cleft lip and palate associated transmembrane protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-040801-265]
ENSLOCP00000018282	unknown	unknown
ENSLOCP00000018286	mrpl28	mitochondrial ribosomal protein L28 [Source:ZFIN%3BAcc:ZDB-GENE-050522-113]
ENSLOCP00000018288	unknown	unknown
ENSLOCP00000018289	unknown	unknown
ENSLOCP00000018290	si:ch211-191j22.3	si:ch211-191j22.3 [Source:ZFIN%3BAcc:ZDB-GENE-030131-4242]
ENSLOCP00000018295	ppp1r37	protein phosphatase 1%2C regulatory subunit 37 [Source:ZFIN%3BAcc:ZDB-GENE-050208-7]
ENSLOCP00000018298	ppp1r37	protein phosphatase 1%2C regulatory subunit 37 [Source:ZFIN%3BAcc:ZDB-GENE-050208-7]
ENSLOCP00000018301	bmp16	bone morphogenetic protein 16 [Source:ZFIN%3BAcc:ZDB-GENE-100115-1]
ENSLOCP00000021830	GEMIN7	gem nuclear organelle associated protein 7 [Source:HGNC Symbol%3BAcc:HGNC:20045]
ENSLOCP00000018305	unknown	unknown
ENSLOCP00000018309	kcnk12l	potassium channel%2C subfamily K%2C member 12 like [Source:ZFIN%3BAcc:ZDB-GENE-091118-74]
ENSLOCP00000018312	calm2a	calmodulin 2a (phosphorylase kinase%2C delta) [Source:ZFIN%3BAcc:ZDB-GENE-030804-3]
ENSLOCP00000018315	calm2a	calmodulin 2a (phosphorylase kinase%2C delta) [Source:ZFIN%3BAcc:ZDB-GENE-030804-3]
ENSLOCP00000018318	ptgir	prostaglandin I2 (prostacyclin) receptor (IP) [Source:ZFIN%3BAcc:ZDB-GENE-120511-1]
ENSLOCP00000018323	ppm1nb	protein phosphatase%2C Mg2+/Mn2+ dependent%2C 1Nb (putative) [Source:ZFIN%3BAcc:ZDB-GENE-071004-34]
ENSLOCP00000018326	RTN2	reticulon 2 [Source:HGNC Symbol%3BAcc:HGNC:10468]
ENSLOCP00000018331	rhoub	ras homolog family member Ub [Source:ZFIN%3BAcc:ZDB-GENE-050417-308]
ENSLOCP00000018334	rab4b	RAB4B%2C member RAS oncogene family [Source:ZFIN%3BAcc:ZDB-GENE-040822-15]
ENSLOCP00000018336	ap2s1	adaptor-related protein complex 2%2C sigma 1 subunit [Source:ZFIN%3BAcc:ZDB-GENE-040426-2174]
ENSLOCP00000018340	arhgap35	Rho GTPase activating protein 35b [Source:ZFIN%3BAcc:ZDB-GENE-060526-44]
ENSLOCP00000018344	arhgap35	Rho GTPase activating protein 35b [Source:ZFIN%3BAcc:ZDB-GENE-060526-44]
ENSLOCP00000018348	NPAS1	neuronal PAS domain protein 1 [Source:HGNC Symbol%3BAcc:HGNC:7894]
ENSLOCP00000018351	tmem160	transmembrane protein 160 [Source:ZFIN%3BAcc:ZDB-GENE-060503-851]
ENSLOCP00000018355	unknown	unknown
ENSLOCP00000018362	slc1a5	solute carrier family 1 (neutral amino acid transporter)%2C member 5 [Source:ZFIN%3BAcc:ZDB-GENE-070501-4]
ENSLOCP00000021831	sycn.1	syncollin%2C tandem duplicate 1 [Source:ZFIN%3BAcc:ZDB-GENE-141212-332]
ENSLOCP00000018364	gng8	guanine nucleotide binding protein (G protein)%2C gamma 8 [Source:ZFIN%3BAcc:ZDB-GENE-050522-312]
ENSLOCP00000021832	si:dkey-202l22.3	si:dkey-202l22.3 [Source:ZFIN%3BAcc:ZDB-GENE-131127-471]
ENSLOCP00000021833	gpr184	G protein-coupled receptor 184 [Source:ZFIN%3BAcc:ZDB-GENE-060929-1218]
ENSLOCP00000018369	PRKD2	protein kinase D2 [Source:HGNC Symbol%3BAcc:HGNC:17293]
ENSLOCP00000018375	strn4	striatin%2C calmodulin binding protein 4 [Source:ZFIN%3BAcc:ZDB-GENE-070501-3]
ENSLOCP00000018377	strn4	striatin%2C calmodulin binding protein 4 [Source:ZFIN%3BAcc:ZDB-GENE-070501-3]
ENSLOCP00000021834	fkrp	fukutin related protein [Source:ZFIN%3BAcc:ZDB-GENE-070412-4]
ENSLOCP00000018385	dhx34	DEAH (Asp-Glu-Ala-His) box polypeptide 34 [Source:ZFIN%3BAcc:ZDB-GENE-061207-30]
ENSLOCP00000001576	unknown	unknown
ENSLOCP00000001594	unknown	unknown
ENSLOCP00000001612	slc5a1	solute carrier family 5 (sodium/glucose cotransporter)%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1524]
ENSLOCP00000001632	slc5a1	solute carrier family 5 (sodium/glucose cotransporter)%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1524]
ENSLOCP00000001650	unknown	unknown
ENSLOCP00000001677	unknown	unknown
ENSLOCP00000001693	pisd	phosphatidylserine decarboxylase [Source:ZFIN%3BAcc:ZDB-GENE-061215-46]
ENSLOCP00000001711	unknown	unknown
ENSLOCP00000001727	eif4enif1	eukaryotic translation initiation factor 4E nuclear import factor 1 [Source:ZFIN%3BAcc:ZDB-GENE-050320-113]
ENSLOCP00000001737	TMEM233	transmembrane protein 233 [Source:HGNC Symbol%3BAcc:HGNC:37219]
ENSLOCP00000001752	prkab1a	protein kinase%2C AMP-activated%2C beta 1 non-catalytic subunit%2C a [Source:ZFIN%3BAcc:ZDB-GENE-040718-377]
ENSLOCP00000001775	prkab1a	protein kinase%2C AMP-activated%2C beta 1 non-catalytic subunit%2C a [Source:ZFIN%3BAcc:ZDB-GENE-040718-377]
ENSLOCP00000001836	CIT	citron rho-interacting serine/threonine kinase [Source:HGNC Symbol%3BAcc:HGNC:1985]
ENSLOCP00000001865	ccdc64	coiled-coil domain containing 64 [Source:ZFIN%3BAcc:ZDB-GENE-091204-439]
ENSLOCP00000001889	rab35b	RAB35%2C member RAS oncogene family b [Source:ZFIN%3BAcc:ZDB-GENE-040801-62]
ENSLOCP00000001903	unknown	unknown
ENSLOCP00000001911	unknown	unknown
ENSLOCP00000001922	unknown	unknown
ENSLOCP00000001937	rplp0	ribosomal protein%2C large%2C P0 [Source:ZFIN%3BAcc:ZDB-GENE-000629-1]
ENSLOCP00000001951	unknown	unknown
ENSLOCP00000001965	unknown	unknown
ENSLOCP00000001980	ctu1	cytosolic thiouridylase subunit 1 homolog (S. pombe) [Source:ZFIN%3BAcc:ZDB-GENE-040426-704]
ENSLOCP00000002033	scarb1	scavenger receptor class B%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-031126-1]
ENSLOCP00000002019	scarb1	scavenger receptor class B%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-031126-1]
ENSLOCP00000002056	dhx37	DEAH (Asp-Glu-Ala-His) box polypeptide 37 [Source:ZFIN%3BAcc:ZDB-GENE-030131-4505]
ENSLOCP00000022239	gp1bb	glycoprotein Ib (platelet)%2C beta polypeptide [Source:ZFIN%3BAcc:ZDB-GENE-081104-406]
ENSLOCP00000002086	unknown	unknown
ENSLOCP00000002098	unknown	unknown
ENSLOCP00000022240	cldn5a	claudin 5a [Source:ZFIN%3BAcc:ZDB-GENE-040426-2442]
ENSLOCP00000002122	cdc45	CDC45 cell division cycle 45 homolog (S. cerevisiae) [Source:ZFIN%3BAcc:ZDB-GENE-040426-2710]
ENSLOCP00000002143	ufd1l	ubiquitin fusion degradation 1 like (yeast) [Source:ZFIN%3BAcc:ZDB-GENE-040718-150]
ENSLOCP00000002158	si:ch211-51h9.6	si:ch211-51h9.6 [Source:ZFIN%3BAcc:ZDB-GENE-081104-234]
ENSLOCP00000002176	mrpl40	mitochondrial ribosomal protein L40 [Source:ZFIN%3BAcc:ZDB-GENE-040912-37]
ENSLOCP00000002208	hira	histone cell cycle regulator a [Source:ZFIN%3BAcc:ZDB-GENE-030131-6296]
ENSLOCP00000002225	si:dkey-215k6.1	si:dkey-215k6.1 [Source:ZFIN%3BAcc:ZDB-GENE-060526-251]
ENSLOCP00000002252	aacs	acetoacetyl-CoA synthetase [Source:ZFIN%3BAcc:ZDB-GENE-040426-903]
ENSLOCP00000002269	bri3bp	bri3 binding protein [Source:ZFIN%3BAcc:ZDB-GENE-030131-5254]
ENSLOCP00000002320	ppil2	peptidylprolyl isomerase (cyclophilin)-like 2 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1096]
ENSLOCP00000002331	unknown	unknown
ENSLOCP00000002360	mapk1	mitogen-activated protein kinase 1 [Source:ZFIN%3BAcc:ZDB-GENE-030722-2]
ENSLOCP00000002374	ppm1f	protein phosphatase%2C Mg2+/Mn2+ dependent%2C 1F [Source:ZFIN%3BAcc:ZDB-GENE-051128-2]
ENSLOCP00000002387	top3b	topoisomerase (DNA) III beta [Source:ZFIN%3BAcc:ZDB-GENE-070705-37]
ENSLOCP00000002405	unknown	unknown
ENSLOCP00000002418	unknown	unknown
ENSLOCP00000002428	sdf2l1	stromal cell-derived factor 2-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-040808-46]
ENSLOCP00000002440	ydjc	YdjC homolog (bacterial) [Source:ZFIN%3BAcc:ZDB-GENE-060526-182]
ENSLOCP00000002461	ube2l3a	ubiquitin-conjugating enzyme E2L 3a [Source:ZFIN%3BAcc:ZDB-GENE-030131-2977]
ENSLOCP00000002475	unknown	unknown
ENSLOCP00000002484	unknown	unknown
ENSLOCP00000002509	unknown	unknown
ENSLOCP00000002521	hic2	hypermethylated in cancer 2 [Source:ZFIN%3BAcc:ZDB-GENE-030619-1]
ENSLOCP00000002641	pi4kaa	phosphatidylinositol 4-kinase%2C catalytic%2C alpha a [Source:ZFIN%3BAcc:ZDB-GENE-100204-2]
ENSLOCP00000002619	pi4kaa	phosphatidylinositol 4-kinase%2C catalytic%2C alpha a [Source:ZFIN%3BAcc:ZDB-GENE-100204-2]
ENSLOCP00000002675	serpind1	serpin peptidase inhibitor%2C clade D (heparin cofactor)%2C member 1 [Source:ZFIN%3BAcc:ZDB-GENE-030711-2]
ENSLOCP00000002687	snap29	synaptosomal-associated protein 29 [Source:ZFIN%3BAcc:ZDB-GENE-041111-226]
ENSLOCP00000002708	si:dkey-178e17.3	si:dkey-178e17.3 [Source:ZFIN%3BAcc:ZDB-GENE-081104-335]
ENSLOCP00000002736	slc25a1b	slc25a1 solute carrier family 25 (mitochondrial carrier%3B citrate transporter)%2C member 1b [Source:ZFIN%3BAcc:ZDB-GENE-130114-1]
ENSLOCP00000002760	unknown	unknown
ENSLOCP00000002786	tbx1	T-box 1 [Source:ZFIN%3BAcc:ZDB-GENE-030805-5]
ENSLOCP00000002799	gnb1l	guanine nucleotide binding protein (G protein)%2C beta polypeptide 1-like [Source:ZFIN%3BAcc:ZDB-GENE-050320-77]
ENSLOCP00000002824	si:ch1073-179p4.3	si:ch1073-179p4.3 [Source:ZFIN%3BAcc:ZDB-GENE-040914-66]
ENSLOCP00000002865	arvcfa	armadillo repeat gene deleted in velocardiofacial syndrome a [Source:ZFIN%3BAcc:ZDB-GENE-091113-43]
ENSLOCP00000002886	arvcfa	armadillo repeat gene deleted in velocardiofacial syndrome a [Source:ZFIN%3BAcc:ZDB-GENE-091113-43]
ENSLOCP00000002906	tango2	transport and golgi organization 2 homolog (Drosophila) [Source:ZFIN%3BAcc:ZDB-GENE-040808-42]
ENSLOCP00000002935	dgcr8	DGCR8 microprocessor complex subunit [Source:ZFIN%3BAcc:ZDB-GENE-030131-3421]
ENSLOCP00000002961	trmt2a	tRNA methyltransferase 2 homolog A [Source:ZFIN%3BAcc:ZDB-GENE-030131-6876]
ENSLOCP00000003004	ranbp1	RAN binding protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2548]
ENSLOCP00000002990	ranbp1	RAN binding protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2548]
ENSLOCP00000003042	zdhhc8b	zinc finger%2C DHHC-type containing 8b [Source:ZFIN%3BAcc:ZDB-GENE-030407-3]
ENSLOCP00000003065	pgam5	PGAM family member 5%2C serine/threonine protein phosphatase%2C mitochondrial [Source:ZFIN%3BAcc:ZDB-GENE-030131-683]
ENSLOCP00000003088	ankle2	ankyrin repeat and LEM domain containing 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-6090]
ENSLOCP00000003120	golga3	golgin A3 [Source:ZFIN%3BAcc:ZDB-GENE-060526-252]
ENSLOCP00000003136	unknown	unknown
ENSLOCP00000003150	unknown	unknown
ENSLOCP00000003173	chfr	checkpoint with forkhead and ring finger domains%2C E3 ubiquitin protein ligase [Source:ZFIN%3BAcc:ZDB-GENE-030131-3522]
ENSLOCP00000003192	fbrsl1	fibrosin-like 1 [Source:ZFIN%3BAcc:ZDB-GENE-070705-487]
ENSLOCP00000003206	GALNT9	polypeptide N-acetylgalactosaminyltransferase 9 [Source:HGNC Symbol%3BAcc:HGNC:4131]
ENSLOCP00000022241	unknown	unknown
ENSLOCP00000003228	unknown	unknown
ENSLOCP00000003241	unknown	unknown
ENSLOCP00000003265	unknown	unknown
ENSLOCP00000003279	rsph14	radial spoke head 14 homolog (Chlamydomonas) [Source:ZFIN%3BAcc:ZDB-GENE-081104-375]
ENSLOCP00000003295	rsph14	radial spoke head 14 homolog (Chlamydomonas) [Source:ZFIN%3BAcc:ZDB-GENE-081104-375]
ENSLOCP00000003310	GNAZ	G protein subunit alpha z [Source:HGNC Symbol%3BAcc:HGNC:4395]
ENSLOCP00000003327	rab36	RAB36%2C member RAS oncogene family [Source:ZFIN%3BAcc:ZDB-GENE-040910-5]
ENSLOCP00000003346	acads	acyl-CoA dehydrogenase%2C C-2 to C-3 short chain [Source:ZFIN%3BAcc:ZDB-GENE-040808-64]
ENSLOCP00000003362	unknown	unknown
ENSLOCP00000003381	hnf1a	HNF1 homeobox a [Source:ZFIN%3BAcc:ZDB-GENE-021206-12]
ENSLOCP00000003397	unc119.1	unc-119 homolog 1 [Source:ZFIN%3BAcc:ZDB-GENE-030219-130]
ENSLOCP00000003410	mlec	malectin [Source:ZFIN%3BAcc:ZDB-GENE-081105-187]
ENSLOCP00000003424	cabp1a	calcium binding protein 1a [Source:ZFIN%3BAcc:ZDB-GENE-041010-36]
ENSLOCP00000003437	pop5	POP5 homolog%2C ribonuclease P/MRP subunit [Source:ZFIN%3BAcc:ZDB-GENE-050320-123]
ENSLOCP00000003460	rnf10	ring finger protein 10 [Source:ZFIN%3BAcc:ZDB-GENE-030131-2969]
ENSLOCP00000003474	unknown	unknown
ENSLOCP00000003490	unknown	unknown
ENSLOCP00000003538	crybb3	crystallin%2C beta B3 [Source:ZFIN%3BAcc:ZDB-GENE-060130-2]
ENSLOCP00000003516	crybb3	crystallin%2C beta B3 [Source:ZFIN%3BAcc:ZDB-GENE-060130-2]
ENSLOCP00000003557	crybb2	crystallin%2C beta B2 [Source:ZFIN%3BAcc:ZDB-GENE-060130-1]
ENSLOCP00000003573	adrbk2	adrenergic%2C beta%2C receptor kinase 2 [Source:ZFIN%3BAcc:ZDB-GENE-030616-382]
ENSLOCP00000022242	unknown	unknown
ENSLOCP00000003589	unknown	unknown
ENSLOCP00000003601	unknown	unknown
ENSLOCP00000003629	si:dkey-174n20.1	si:dkey-174n20.1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-7890]
ENSLOCP00000003614	si:dkey-174n20.1	si:dkey-174n20.1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-7890]
ENSLOCP00000003651	SUSD2	sushi domain containing 2 [Source:HGNC Symbol%3BAcc:HGNC:30667]
ENSLOCP00000003666	kremen1	kringle containing transmembrane protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-070705-262]
ENSLOCP00000003687	kremen1	kringle containing transmembrane protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-070705-262]
ENSLOCP00000003704	znrf3	zinc and ring finger 3 [Source:ZFIN%3BAcc:ZDB-GENE-070705-263]
ENSLOCP00000003726	xbp1	X-box binding protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-011210-2]
ENSLOCP00000003750	unknown	unknown
ENSLOCP00000003776	unknown	unknown
ENSLOCP00000003791	hspb8	heat shock protein b8 [Source:ZFIN%3BAcc:ZDB-GENE-030131-2480]
ENSLOCP00000003803	srrm4	serine/arginine repetitive matrix 4 [Source:ZFIN%3BAcc:ZDB-GENE-050208-34]
ENSLOCP00000003824	srrm4	serine/arginine repetitive matrix 4 [Source:ZFIN%3BAcc:ZDB-GENE-050208-34]
ENSLOCP00000003862	suds3	SDS3 homolog%2C SIN3A corepressor complex component [Source:ZFIN%3BAcc:ZDB-GENE-040801-236]
ENSLOCP00000003848	suds3	SDS3 homolog%2C SIN3A corepressor complex component [Source:ZFIN%3BAcc:ZDB-GENE-040801-236]
ENSLOCP00000003902	taok3a	TAO kinase 3a [Source:ZFIN%3BAcc:ZDB-GENE-100921-50]
ENSLOCP00000003922	pebp1	phosphatidylethanolamine binding protein 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2621]
ENSLOCP00000003971	vsig10	V-set and immunoglobulin domain containing 10 [Source:ZFIN%3BAcc:ZDB-GENE-030131-7476]
ENSLOCP00000003956	rfc5	replication factor C (activator 1) 5 [Source:ZFIN%3BAcc:ZDB-GENE-040907-1]
ENSLOCP00000003944	rfc5	replication factor C (activator 1) 5 [Source:ZFIN%3BAcc:ZDB-GENE-040907-1]
ENSLOCP00000003990	wsb2	WD repeat and SOCS box containing 2 [Source:ZFIN%3BAcc:ZDB-GENE-081104-26]
ENSLOCP00000004014	wsb2	WD repeat and SOCS box containing 2 [Source:ZFIN%3BAcc:ZDB-GENE-081104-26]
ENSLOCP00000004053	ksr2	kinase suppressor of ras 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8047]
ENSLOCP00000004098	nos1	nitric oxide synthase 1 (neuronal) [Source:ZFIN%3BAcc:ZDB-GENE-001101-1]
ENSLOCP00000004116	lrrc74b	leucine rich repeat containing 74B [Source:ZFIN%3BAcc:ZDB-GENE-141212-96]
ENSLOCP00000004136	nipsnap1	nipsnap homolog 1 (C. elegans) [Source:ZFIN%3BAcc:ZDB-GENE-991008-17]
ENSLOCP00000004153	gatsl3	GATS protein-like 3 [Source:ZFIN%3BAcc:ZDB-GENE-050327-38]
ENSLOCP00000004168	zgc:110063	zgc:110063 [Source:ZFIN%3BAcc:ZDB-GENE-050522-367]
ENSLOCP00000004183	rnft2	ring finger protein%2C transmembrane 2 [Source:ZFIN%3BAcc:ZDB-GENE-050522-168]
ENSLOCP00000004202	fbxw8	F-box and WD repeat domain containing 8 [Source:ZFIN%3BAcc:ZDB-GENE-080204-111]
ENSLOCP00000004218	fbxw8	F-box and WD repeat domain containing 8 [Source:ZFIN%3BAcc:ZDB-GENE-080204-111]
ENSLOCP00000004243	tescb	tescalcin b [Source:ZFIN%3BAcc:ZDB-GENE-040426-1903]
ENSLOCP00000004261	fbxo21	F-box protein 21 [Source:ZFIN%3BAcc:ZDB-GENE-100922-229]
ENSLOCP00000004281	fbxo21	F-box protein 21 [Source:ZFIN%3BAcc:ZDB-GENE-100922-229]
ENSLOCP00000004313	nf2a	neurofibromin 2a (merlin) [Source:ZFIN%3BAcc:ZDB-GENE-080722-7]
ENSLOCP00000004329	nf2a	neurofibromin 2a (merlin) [Source:ZFIN%3BAcc:ZDB-GENE-080722-7]
ENSLOCP00000004344	cabp7b	calcium binding protein 7b [Source:ZFIN%3BAcc:ZDB-GENE-060526-366]
ENSLOCP00000004362	zmat5	zinc finger%2C matrin-type 5 [Source:ZFIN%3BAcc:ZDB-GENE-040808-31]
ENSLOCP00000004376	zgc:112294	zgc:112294 [Source:ZFIN%3BAcc:ZDB-GENE-050522-418]
ENSLOCP00000004403	SCARF2	scavenger receptor class F member 2 [Source:HGNC Symbol%3BAcc:HGNC:19869]
ENSLOCP00000004416	SCARF2	scavenger receptor class F member 2 [Source:HGNC Symbol%3BAcc:HGNC:19869]
ENSLOCP00000004446	prodha	proline dehydrogenase (oxidase) 1a [Source:ZFIN%3BAcc:ZDB-GENE-041008-73]
ENSLOCP00000022243	unknown	unknown
ENSLOCP00000004463	rtn4r	reticulon 4 receptor [Source:ZFIN%3BAcc:ZDB-GENE-040310-1]
ENSLOCP00000004478	si:ch211-207k7.4	si:ch211-207k7.4 [Source:ZFIN%3BAcc:ZDB-GENE-070705-97]
ENSLOCP00000004514	chek2	checkpoint kinase 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8942]
ENSLOCP00000004532	gstt2	glutathione S-transferase theta 2 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1617]
ENSLOCP00000004554	slc2a11b	solute carrier family 2 (facilitated glucose transporter)%2C member 11b [Source:ZFIN%3BAcc:ZDB-GENE-070705-96]
ENSLOCP00000004569	si:dkey-98f17.5	si:dkey-98f17.5 [Source:ZFIN%3BAcc:ZDB-GENE-060526-354]
ENSLOCP00000004594	AIFM3	apoptosis inducing factor%2C mitochondria associated 3 [Source:HGNC Symbol%3BAcc:HGNC:26398]
ENSLOCP00000004612	AIFM3	apoptosis inducing factor%2C mitochondria associated 3 [Source:HGNC Symbol%3BAcc:HGNC:26398]
ENSLOCP00000022244	si:dkey-98f17.3	si:dkey-98f17.3 [Source:ZFIN%3BAcc:ZDB-GENE-060526-352]
ENSLOCP00000004637	lztr1	leucine-zipper-like transcription regulator 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-9564]
ENSLOCP00000004659	lztr1	leucine-zipper-like transcription regulator 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-9564]
ENSLOCP00000004680	gal3st1a	galactose-3-O-sulfotransferase 1a [Source:ZFIN%3BAcc:ZDB-GENE-060526-375]
ENSLOCP00000004713	pes	pescadillo [Source:ZFIN%3BAcc:ZDB-GENE-990415-206]
ENSLOCP00000004734	p2rx2	purinergic receptor P2X%2C ligand-gated ion channel%2C 2 [Source:ZFIN%3BAcc:ZDB-GENE-030319-2]
ENSLOCP00000004785	pole	polymerase (DNA directed)%2C epsilon [Source:ZFIN%3BAcc:ZDB-GENE-070705-557]
